VendorNumber,VendorName,Brand,Description,PurchasePrice,actualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
8892.0,TRINCHERO FAMILY ESTATES,41034.0,Menage a Trois Red,5.26,8.99,750.0,25379.0,133493.54,3743.0,38787.53,12727.14,418.82,11595.97,-94706.01000000001,-244.16612761885074,0.028038809967883088,0.2905573558091275
2555.0,DISARONNO INTERNATIONAL LLC,5312.0,Amaretto DiSaronno,14.7,21.99,750.0,9068.0,133299.6,1376.0,31908.239999999998,18400.129999999997,1083.89,5861.03,-101391.36000000002,-317.7591744326858,0.010322611620740047,0.23937236120738545
3960.0,DIAGEO NORTH AMERICA INC,1384.0,Bulleit 95 Rye,18.93,25.99,750.0,7017.0,132831.81,1707.0,44626.93,22221.52,1344.38,257032.07,-88204.88,-197.64944619762105,0.012850837461297863,0.33596568472566923
1128.0,BROWN-FORMAN CORP,1545.0,Gentleman Jack,19.42,29.99,750.0,6767.0,131415.13999999998,953.0,27983.469999999998,19352.41,751.09,68601.68,-103431.66999999998,-369.6170274808664,0.007251828061819971,0.21293946800954594
480.0,BACARDI USA INC,2665.0,Dewars White Label,15.38,19.99,750.0,8542.0,131375.96,1094.0,25149.059999999998,17136.579999999998,861.99,89286.27,-106226.9,-422.38914695022396,0.008327246476448204,0.19142817300821247
7239.0,REMY COINTREAU USA INC,782.0,Remy Martin 1738 Accord Ryl,35.15,54.99,750.0,3724.0,130898.6,463.0,24200.37,10633.01,364.63,16978.67,-106698.23000000001,-440.8950359023437,0.0035370890139390337,0.18487875347788285
8112.0,MOET HENNESSY USA INC,3682.0,Belvedere Vodka,16.66,22.99,750.0,7828.0,130414.48,586.0,15056.14,10023.109999999999,461.83,48347.26,-115358.34,-766.1880136608719,0.004493366074073983,0.11544837659131102
8004.0,SAZERAC CO INC,5105.0,Dr McGillicuddy's Mentholmnt,14.81,25.99,1750.0,8783.0,130076.23,1148.0,28390.52,16325.429999999998,2109.61,50293.62,-101685.70999999999,-358.16783207915876,0.008825594038203599,0.21826063070862373
3960.0,DIAGEO NORTH AMERICA INC,2767.0,Johnnie Walker Blue Label,139.7,189.99,750.0,930.0,129921.0,100.0,21399.0,18659.13,78.89,257032.07,-108522.0,-507.1358474695079,0.0007696985090939879,0.16470778396102248
8112.0,MOET HENNESSY USA INC,4673.0,Hennessy VS Cognac,46.66,69.99,1750.0,2770.0,129248.2,331.0,23166.69,14207.97,608.32,48347.26,-106081.51,-457.90533736153077,0.0025609640985329004,0.17924187725631768
1392.0,CONSTELLATION BRANDS INC,40096.0,Black Box Cab Svgn,10.52,16.99,3000.0,12230.0,128659.6,819.0,19832.809999999998,13464.619999999999,368.55,79528.99,-108826.79000000001,-548.7209830578724,0.0063656345892572335,0.1541494766033782
8004.0,SAZERAC CO INC,1767.0,Buffalo Trace Bourbon,19.37,24.99,750.0,6616.0,128151.92,1130.0,28238.699999999997,15493.8,889.88,50293.62,-99913.22,-353.8166417009282,0.008817659540333067,0.22035331191292332
1392.0,CONSTELLATION BRANDS INC,40097.0,Black Box Chard,10.59,16.99,3000.0,12031.0,127408.29,708.0,16772.92,10145.82,318.6,79528.99,-110635.37,-659.6070928615889,0.005556938249465557,0.13164700664297432
12546.0,JIM BEAM BRANDS COMPANY,3444.0,Hornitos Plata Tequila,29.13,39.99,1750.0,4312.0,125608.56,439.0,17546.61,13230.69,807.02,123880.97,-108061.95,-615.8565671659653,0.0034949847367090267,0.13969278845327102
17035.0,PERNOD RICARD USA,857.0,Kahlua,16.17,21.99,1000.0,7755.0,125398.34999999999,1387.0,33121.13,16775.98,1456.3500000000001,123780.22,-92277.22,-278.6052891311378,0.011060751596811283,0.2641273190596208
3252.0,E & J GALLO WINERY,2164.0,New Amsterdam Gin,12.14,16.99,1750.0,10313.0,125199.82,1627.0,27738.73,15397.97,2989.59,61966.91,-97461.09000000001,-351.35382910464904,0.012995226350964402,0.2215556699682156
3960.0,DIAGEO NORTH AMERICA INC,4368.0,Capt Morgan Private Stock,23.91,32.99,1750.0,5221.0,124834.11,743.0,25254.57,17980.710000000003,1365.82,257032.07,-99579.54000000001,-394.3030508933631,0.005951898884046997,0.2023050430687574
1392.0,CONSTELLATION BRANDS INC,6565.0,Clos du Bois Cab Svgn N Cst,5.99,10.99,750.0,20765.0,124382.34999999999,2784.0,27571.16,9826.12,311.28000000000003,79528.99,-96811.18999999999,-351.1320887478075,0.02238259688774171,0.22166456896818562
1392.0,CONSTELLATION BRANDS INC,11213.0,Meiomi Pnt Nr,12.66,19.99,750.0,9819.0,124308.54,1551.0,33422.49,11010.869999999999,173.51000000000002,79528.99,-90886.04999999999,-271.9308166447203,0.012477018875774746,0.2688672073535736
3960.0,DIAGEO NORTH AMERICA INC,3549.0,Ketel One Vodka,17.82,26.99,750.0,6956.0,123955.92,989.0,26069.11,14856.38,779.02,257032.07,-97886.81,-375.4896503946625,0.007978642730415781,0.21030951970668282
1128.0,BROWN-FORMAN CORP,1231.0,Jack Daniels No 7 Black,9.48,12.99,375.0,12902.0,122310.96,2127.0,27629.73,15665.94,835.38,68601.68,-94681.23000000001,-342.6788101078078,0.017390101426724147,0.22589741753314665
